demonlord belzenlok,dominaria,nm,1,1
soul of innistrad,2015,nm,1,1
nirkana revenant,battlebond,nm,1,1
archfiend of despair,battlebond,nm,1,1
stunning reversal,battlebond,nm,1,1
boneyard parley,ixalan,nm,1,1
necropotence,iconic,nm,1,1
cruel reality,amonkhet,nm,1,1
infernal reckoning,2019,nm,.25,4
hero's downfall,theros,nm,1,6
platinum emperion,mirrodin,nm f,2,1
platinum emperion,mirrodin,nm,2,3
grimoire of the dead,innistrad,nm,1,1
lich's mirror,shards,nm,1,1
mindslaver,mirrodin,nm,1,1
planar bridge,aether,nm,1,1
skysovereign consul flagship,kaladesh,nm,1,1
platinum angel,conspiracy,nm,1,1
spire of industry,aether,nm,1,4
